seller_n_address,transaction_count,active_period,total_value,total_gasUsed,avg_gasPrice,avg_gasLimit,rolling_avg_value_last10,rolling_std_value_last10
0x852459d22dcd0ab2b6a9c802128ac0c3e048b9f2,336,1332.320625,54.043035702709595,49816555,60134328082.8869,205969.99702380953,2.5000000000000004e-7,7.5e-7
0x0dfa39fbd4c01da42c0cdb835d943d31f2c9c5c9,372,1285.2802777777779,258.19516233440663,62240182,91765352638.67741,229970.77688172043,0.5,1.5
0x042f6429a34286383b60f184fa67273199d32911,468,1510.1375,111.79053422173374,53699384,79131687189.17522,156610.33974358975,0.0025,0.0075
0xa1f0bea9daddb7a5a9d9fc1575fe6e9d57cfe6f7,484,1655.6244560185185,3702.0258790435323,46656496,115632427912.8471,161483.69834710745,2.8166538191622155,7.44766774713902
0x10a2dfb788a57587e6dead219fb2829b8ead9d7b,3322,1650.5455902777778,31279.191675220733,479831307,62765112088.71403,222630.17880794703,80.3,240.9
0x2238af3a398d2417567cc9ae7fb9aa3b1b1a1203,918,1564.0364351851852,593.6160034372261,83593636,95497863704.72223,120266.24945533769,0.24336581265320523,0.4031455004723003
0xce63318d5165f13e9be8c60150c78265a0f07022,690,1493.1807407407407,1216.3079173537074,138572929,92504661411.15218,281600.1043478261,0.19977517393378408,0.5366567384472504
0xe2889198056aa4978eaa99a067b87b8e64b80c1e,117,1024.2870138888889,321.8433113778792,4943178,33305236150.94017,46687.02564102564,1.8119990830244306,0.40754807710332375
0x33ec0710a48f5698ff4b841261cec205842c60af,70,1472.1512615740742,15.35180611433176,6287307,103173672393.72858,116028.41428571429,0.03352760522624309,0.09023141039445204
0x78765246d67f76a4f2f2c71cef5f83ce0fbd6e99,1058,1509.9196296296295,10745.848572549818,197485458,89784330876.31947,247671.7192816635,0.2898125189562188,0.8040673966789801
0xd0809508c07b18c8692bba6ad3ff8014ca193a45,179,989.2867013888889,644.460083261593,12818511,21685388006.726257,88322.60893854749,2.8636558761593034,3.5513551555397473
0x78b2b89855960ffbb6b9071a50d02ff0875063aa,410,1302.1806712962964,875.50697749,34235584,50344721275.65122,105602.9512195122,1.02,2.0575713839378698
0x712881df1701862a5e7418e44b39a887a3497b17,1845,949.6501041666667,794.277322885313,122754183,17417630848.47588,72744.55555555556,0.0,0.0
0xaf06e7ca8e77bd17dee07d7c7fcbd33d6689231a,903,1206.7120717592593,81969.68569329235,267702474,49361624298.196014,417925.43410852714,0.9629999999999999,2.6849061436109833
0xfe8201ce69a82dea64e633ec37b0b719ed316402,2286,1466.154085648148,955.6842273021465,325630872,65679978456.41338,195222.9610673666,0.0,0.0
0xef5df2cf32017b0b100cb8bb9ae3929db33f0aee,49,1262.938252314815,236.07105457,2991807,55237938688.244896,87095.5306122449,0.21549999999999997,0.5049972772203827
0x87616fa850c87a78f307878f32d808dad8f4d401,10000,1714.600150462963,47149.98545464523,1736130163,135837092452.979,327005.7157,0.1,0.30000000000000004
0xfc5a080c6ec2a047e1da3b862af83bbf20632263,684,1490.531736111111,2106.5713864326576,83220973,35804494861.54825,166629.08333333334,2.2930124935034e-6,3.5026344406602577e-6
0xcc47fcbfdd6e558fb39cf5ef4d92e59890476b86,3525,1477.6994791666666,3672.1362272905426,794247988,125436847568.97957,331831.02269503544,0.2699453260099158,0.7448793036047151
0xeda4a17d77a9612daf471309b454e4086d107981,373,1414.1958796296296,370.0671531541444,39649902,72423014604.43968,136102.83646112602,0.029000000000000005,0.08371977066380437
0xb44d4d7fc6cdddf906fac6490ef9641d72174c1d,1653,1476.4893055555556,3291.835289717286,152231076,75719607245.1107,125919.63823351482,3.146729994762085,2.566692478308292
0xe944d7e8e1cd968f1d7a9a8b59ecf3c634232dda,435,1344.2111458333334,4927.5134133690535,52252029,71580846546.46896,155439.14482758622,56.17489183934513,149.95426722257062
0x6b84b4c46babd3748c1c73bc408f6999238d00a1,890,2814.499988425926,458.69309846135087,95009288,44381399660.9764,156410.6606741573,0.01918598,0.036010066662582
0x6f73d15e439dcae522edd3a74548be32b01548f5,96,1111.5822453703704,519.8819648154184,12445308,58484105453.708336,194222.53125,2.401980934731171,4.107517428128144
0x3dd355a3f38118dfb842029ef27bacba40d3c126,91,618.2425115740741,345.8480432940631,15879788,28487768464.956043,204480.75824175825,0.3323356954333208,0.48890367669656226
0x50f448a855ba48f9874d62d7a9efaa5a248ba669,90,1486.1441203703703,19.886332618101807,6169898,92793876652.35556,139477.5888888889,0.168782,0.49603322763298824
0xa2201f091b2e8e5f8adaf8b023b99322b9ea5e66,2303,1368.0958680555555,3768.779715787656,366496630,55536925251.164566,222221.64524533218,0.00046655500181726537,0.0009305963468787406
0x622644626437437e510000830f67bbc6e2599c74,621,2596.7093171296297,243.70550776903113,61051481,82089592203.533,173944.5507246377,0.0015537080760353067,0.002454998453434146
0x6bf97f2534be2242ddb3a29bfb24d498212dcded,5223,2654.2849189814815,18289.395537193068,974568963,101595777962.95558,274727.17825004784,0.8,1.1
0x38a1b728c1b43c64361631cf7689f6662e26feb8,1054,1404.4727199074075,5092.306564707957,121717093,77858439518.36717,169630.8055028463,0.21600000000000003,0.648
0xcc6a751a0e644b445984d74f176e9babf46b2a97,1317,1478.6439814814814,1196.8775219880495,159223837,50371370876.233864,165676.03264996203,1.9588,2.1167704079564227
0xbbaec56b725a0b9501a655d7d1b48555af637b70,1167,1080.336724537037,23859.138294599717,58280046,27557780472.564697,153305.40445586975,4.246,12.718012580588208
0x9bb2bb8aedc2dd7e343306862b9c8b3ebef1fef4,29,1129.1397337962962,355.9447695514824,2274928,690454239420.5518,112409.6551724138,0.19612685514824096,0.4501806163476498
0xa37fbd2264b48ed56dd7de8b9b83db35561700ef,1373,1695.8326504629629,947.3150525454015,233260842,53326299275.58922,227874.5586307356,0.17423823503156255,0.3564286193422075
0xdca46a0d1bf487aaca3013253dafd6e41806522c,1140,1478.0135185185186,132.25303847933083,104451170,55775926906.467545,126822.8605263158,0.001253,0.0024158189087760697
0x086bb72569e07f02240c53e98021e25cfed58d95,99,1444.3803472222223,74.44516078910802,14650614,46165867414.27273,181878.0,0.8019999999999999,1.6297349477752512
0x32e4805550a638a1012b83d01ae0c32487b55605,743,1638.4891435185186,465.70546589542784,44528960,32623541623.690445,78206.81561238224,1.1091661826004482,1.2372385223975397
