buyer_n_address,transaction_count,active_period,total_value,total_gasUsed,avg_gasPrice,avg_gasLimit,rolling_avg_value_last10,rolling_std_value_last10
0x3be42d3eae092e37274ea2973d5e4d2c2775fded,108,1057.782199074074,311.4280000352375,8756679,35992572559.05556,85547.19444444444,0.11648267334318851,0.344908737637863
0x84874a7b71c302707fad5dd386743c5836445794,4,779.093761574074,155.9905410783115,362058,22999943571.75,131724.25,38.99763526957788,38.50527521003066
0xa98321b8e554d426dbec05987af0441ae0e87910,682,1451.265162037037,478.82963989015576,81046931,73541980046.60558,171311.1348973607,0.020233650304791594,0.04416097944918132
0xe48ab528f2b51fa68e22d57069cffafcd4aa2b6c,1518,1481.6143287037037,1864.9069238408952,262533261,49868514563.573784,251152.73122529645,0.7622769999999999,2.0926332484219494
0x703feab1564717a1dd14668e9c5fb09c4e84dc6e,55,816.982650462963,182.835732,6443003,18671180197.69091,166094.32727272727,0.01,0.02
0x30f0149363f860bd37015a77da1db8b5845545cc,1219,1370.5142476851852,599.6658936324708,122438692,65369136561.637405,127298.0254306809,0.03211446,0.06184997712064574
0xc21ae80596d30b01fcff819075e12ee6ee546cdf,25,1430.2992129629629,56.689124888712044,1685848,72170375898.72,95399.28,3.4990181603262833,6.814836844740584
0x845c964709b1a82cf1c332a13ba4056472ec1bb0,4,1146.1756712962963,190.1508457102187,408449,137110082946.75,129657.0,47.537711427554676,47.512305127746636
0x4c05908d02467840c3bdb9c1848f3c13090eabdf,467,1088.8444097222223,9752.313525252246,88415055,36068611772.1242,247468.48822269807,25.493121366306138,46.50176057915994
0x4e16227ccf35aef1736e079292d94a0f625e3df8,1396,1468.2208564814814,923.7249519704518,171694125,91124246158.48065,166870.93123209168,0.07561568898008007,0.19093317699807086
0xe53651eea5e916ee25cf939749326dc895f61ad7,939,1315.0630092592592,938.8747172043923,123725377,75371991355.70074,170900.84664536742,0.0391,0.07820799191898485
0x3e6dae241c9e3dd9b7746150c9f7778f828dbd6d,152,1449.328136574074,4.52353005,14935966,90236208860.36185,122065.25,0.07169795,0.1899307566136209
0x93e7830b7cfcbca2b83f2cd6ba2724fdefa22288,812,1293.8885069444445,1194.1167300220393,128187757,98843860127.64409,224109.01108374386,1.9240143334074236,4.636563967841574
0x6dde7372072036eefaf880600dee87d5019ad2d2,1074,1580.7560069444444,852.9963293686415,197571575,82204547711.93016,270332.51955307263,0.024128468491188302,0.06563822615944959
0x93be3b4e1797b44d7b5672c7f60b1cc4805037f8,1249,913.5468402777777,801.5971038611794,109679602,16172666050.076061,131871.75420336268,0.583,1.6200620358492446
0x19fffb371b95574df860e90b6a5b69256629b585,2527,1193.030289351852,5550.040970799923,476013880,44757985387.6205,297527.2690937871,0.04774283912833253,0.14241924749427445
0x6e2bd78965ea2b754da92df5488897d2ecf0763a,618,1146.4429398148147,216.6733976170575,163534799,25557084946.07929,345666.1084142395,1.91242378611,3.2160846098117135
0x5d9de45c0ea5c426c670746b5dcc4e63e9be66c8,1063,209.68070601851852,210.47876674822814,145669723,9100376655.527752,155604.64346190027,2.0897999078622598,5.685658298015429
0xac0cfc37d10a987c57f0c64803dca7216055b438,17,1337.584212962963,242.88780693704473,1532007,113158444862.70589,111535.0,0.13187729166501733,0.29707252428045694
0xee5ac9c6db07c26e71207a41e64df42e1a2b05cf,1397,461.3923726851852,3577.3930621787363,203027586,21011779687.234787,228662.75161059413,0.32999999999999996,0.9899999999999999
0xcdc82ee2cbc9168e7da4cd3eef49705c5610839b,269,1397.2935648148148,581.9443380989654,29941205,56161167974.87733,131629.0148698885,0.8040100000000001,0.8774781597851881
0xe3112c26b6a065fd1b5e1bfc47dfe6fb332a72eb,632,1411.7706944444444,176.65955337733482,94929932,83977078071.17088,213718.33544303797,0.0372,0.11159999999999999
0x514afe6575b5d81cecaa86a6bddf28de2f89ba45,432,1384.1325810185185,276.5162817800823,56619118,41037182876.229164,180809.2060185185,0.007173320018028712,0.021519960054086133
0xc34306c55be458f98ee78843a90688cfadcbfc29,159,1152.005462962963,155.9044213469119,24192701,74635776336.20755,214076.22641509434,3.355063267,5.152069904611693
0x0e87a33b28f23588a752e43dacb5d97453134386,721,1434.1771296296297,283.0561956992829,98766816,85505516440.84328,181412.08599167824,0.05352519498371681,0.14429451443561425
0x7514c98e42ab83bc914411e18b7703f5c9699ae5,897,1471.3016087962963,609.4583600218934,94233216,77601643768.11371,129688.82497212933,0.0026800000000000005,0.0039549462701786485
