token_id,year_month,total_offers,unique_makers_count,mean_offer_price,std_offer_price,median_offer_price,highest_offer,lowest_offer,mean_price_residual,std_price_residual,mean_time_residual_hrs,std_time_residual_hrs,offers_above_sale,offers_below_sale,duration_offer_days,time_since_last_offer_hrs,offers_in_7d,offers_in_14d,offers_in_30d
1001,2024-02,10,3,0.00652000000248,0.002361694300213472,0.0069,0.01,2.48e-11,-22.103479999997525,0.0023616943002135065,123.10366666666667,195.01819421898077,0,10,25.11685185185185,-242.81055555555557,5,9,10
1003,2024-07,2306,5,9.27513347788378,0.7429677810421809,9.2259,10.2515,0.0069,-1.2248665221162185,0.7429677810421809,337.5685543750602,219.7950257705011,0,2306,30.882199074074073,-29.881666666666668,645,1222,2306
1004,2024-12,55,4,14.910300000001165,8.758374752739222,19.27,22.22,1.905e-11,-75.08969999999883,8.75837475273922,580.4449242424242,219.59130796624868,0,55,27.53159722222222,56.14055555555556,4,13,55
1005,2025-02,2637,4,13.25548729616989,0.6472834335251051,13.48,14.23,11.42,-2.244512703830112,0.6472834335251052,-294.3547684658492,175.56133639857433,0,2637,27.979050925925925,-595.0263888888888,2637,2637,2637
1007,2024-04,13,2,0.006900000000000002,1.734723475976807e-18,0.0069,0.0069,0.0069,-11.9931,0.0,-137.1625,207.5491091145482,0,13,27.856805555555557,-494.5788888888889,12,13,13
100,2024-05,131,6,1.3832076335881098,3.855689700891288,0.0033,14.4,2.1e-11,-12.530892366411889,3.855689700891289,-285.8844932145887,232.0885975682213,3,128,30.644247685185185,-694.1672222222222,131,131,131
1020,2024-12,15,3,1.2740000000042708,4.737474432647539,0.01,19.0,1.905e-11,-17.58099999999573,4.737474432647538,-261.2978518518518,161.60293275200178,1,14,27.1725,-454.4222222222222,14,15,15
1024,2024-06,4495,6,10.257550433815348,1.2064301576269287,10.4434,12.66,0.0069,-7.142449566184652,1.2064301576269287,-266.28933778272153,221.83569627750975,0,4495,29.976388888888888,-490.7713888888889,4315,4495,4495
1026,2024-03,14,3,1.2949071428571435,4.645640014413558,0.0069,18.045,0.0039,-16.345092857142856,4.645640014413558,-182.80617063492068,220.44473497052616,1,13,27.002569444444443,-540.3413888888889,14,14,14
1027,2024-12,15,3,1.4740000000042708,5.485805683761265,0.01,22.0,1.905e-11,-22.51599999999573,5.485805683761265,-421.61988888888885,181.8796425357384,0,15,27.172488425925927,-624.5158333333334,15,15,15
102,2024-07,112,5,0.5005223214285711,2.082432298878518,0.0033,9.75,0.0033,-8.499477678571433,2.0824322988785173,339.8918080357143,196.24255840142027,6,106,28.253113425925925,-32.65111111111111,28,53,112
1041,2025-01,1667,4,14.125159328134394,2.244360593368696,14.4244,16.2379,1.669e-11,-0.37484067186560843,2.2443605933686954,252.79180313937218,190.8617263336465,811,856,30.828217592592594,-140.93833333333333,525,1075,1667
1042,2024-06,30,2,5.448696666666667,4.823293610696832,8.10215,10.7416,0.0069,-3.4513033333333345,4.823293610696833,-131.93191666666664,191.6446558758377,13,17,27.53939814814815,-299.4997222222222,27,29,30
