seller_n-1_address,transaction_count,active_period,total_value,total_gasUsed,avg_gasPrice,avg_gasLimit,rolling_avg_value_last10,rolling_std_value_last10
0x0845c3d2bb02ea136b234dfd3d892f1e38cc3388,363,1147.8329282407408,2664.817368247281,39859700,73223738143.59505,161511.72451790635,0.08319175619200361,0.2144482258014519
0x44eb3534be29c36dd4fa64a43ace64520cc54b53,826,1459.2174421296297,150.74568049107603,113808348,96001137972.93341,193137.803874092,0.034632666651800446,0.0702826790690389
0xd62d06ca6d553e1f26cbf7f1e07d6ae49f410dc2,1421,1327.8065509259259,4674.3286958195185,196159928,71399816416.46236,182123.03659394794,0.055642640537777774,0.15160368480404335
0x7b6615f61ccec623487a0522383eb3bfa0dce5cb,206,1290.4093055555556,376.86242452662464,11204329,112126725472.45146,76644.33495145632,0.2486921695257358,0.6507679247419861
0x00a8bec03805bcfaafab1050dbcf90f57982d750,2172,2598.5428587962965,1741.8519372122405,234974799,67617563392.15562,143710.52071823203,0.0017153024874855083,0.0035301609382328678
0x55ab7ec373fd9f3c0cfe027f08ec68d8e5e014a8,1112,837.8702893518519,585.478087912097,79600795,35981430306.34712,125330.50719424461,0.15100000000000002,0.27573356705341484
0xb37d3b247b871c52828153d90cb0a0694455474e,47,1151.2788657407407,32.89272100627521,5434235,38976287411.14893,154144.93617021278,3.2468526388647865,9.64860126371009
0x7963fbd04523ed0d995bbbb3132aed448fc22869,2246,2067.5330324074075,1169.245047024211,481608253,94762599713.53473,303695.54407836153,0.0025363935100841816,0.005998706974000775
0x33938fef08cb03019e8a8c74e6ca66f0f85b5f20,431,515.630150462963,29.045734790967938,139906666,22253047373.49652,799399.0626450116,0.0,0.0
0x67ac6f6b7aff56683620a8378a6fbeb04aecf1d6,54,963.3957638888888,82.14588714419874,4595718,18791661445.166668,101026.85185185185,0.1339522,0.17515305011206628
0x1bc28e875223d777961da055b01151c6d5c21f19,50,764.847511574074,461.0696254098883,3690137,29324516356.34,116612.12,8.96000378,18.24478918109281
0xbd17e0c2d7ab5cc7c3aeb00219c9213863e44084,340,1637.7081365740742,2197.716506322543,31841861,53664990265.53529,132760.64411764705,6.446025211545684,12.824984170689001
0x75b7d078aac253610ac9d566989d7ae93f0874c6,678,1455.6912847222222,204.03879441886744,87014936,61974269572.69617,171097.60619469028,0.017802614159487633,0.0363516755598327
0x334560fcfdec3fabfe8bed1bcd83ffba5b91d3fb,665,1515.1416435185185,2061.0508883310576,123289137,132569175535.77142,252784.67067669172,2.3282,4.0620575771399405
0x5a29fecbf74b46bf910d110975d8f631cc27c7b8,180,287.5636226851852,121.02603118043653,16632919,10288344837.266666,148491.6,0.1,0.20493901531919198
0xb32e083709588a1b3fa9c115c48051e61cbeba0a,3468,1528.2549537037037,681.0991778429881,370917044,87854079259.98558,143292.32439446368,0.0010000000000000002,2.168404344971009e-19
0x0aaf1a0316606aa46dfa694a6a0028d60b1f2a25,652,1410.071736111111,86.5612032492871,77033288,66407135323.31595,170648.66411042944,0.454,0.9080440517948455
0x47d5aec8eb4b3aaf21d12823bb2d74e97011dab0,1972,1407.3656481481482,3317.462501354816,325384679,58729659697.8996,234953.3032454361,0.0012718852806278922,0.0013090897401404394
0xa02bfd4376c12983a9749e609b209a87ed3e287c,1041,1482.0572106481482,435.64881130256293,140298936,68813431175.55716,199168.50336215177,0.0,0.0
0xc457749236328d6e27fc7441cc32f273d6ad05ad,1767,1455.605011574074,774.5162567537689,333979614,105862859340.0464,271681.81097906054,0.29900000000000004,0.4141364509434059
0x4a9a34a36faedeab457344dea77228dcd318adff,1401,1447.7533680555555,3266.6195984751084,266441187,119241995774.16489,283782.3347608851,0.0,0.0
0x45be6d109ae2ac85273a2d566b3559a961203c67,709,1602.475775462963,15.41982951651895,52117450,32810920032.99154,88929.11847672779,0.010296405704473877,0.005542149377916422
0xdb07569be914d6a3ee3d1c18c077a03a6df66f36,197,1059.1147337962964,146.1686981335752,18416861,32628406391.979694,118331.62436548223,0.4700313352260023,1.0748086359332678
0x42647285714407c7e4664be52e3a4ab38a2a7ef1,572,2607.1312152777778,41.10764723405529,65812319,34109675776.613636,158631.16258741257,0.04822686118969373,0.1194446681656889
0xb52343dbb87db123289ebbd6d8277ce9f1b71ca1,1207,2740.9977662037036,2548.108798967311,146455239,66471677088.7092,153300.49792874896,3.2074358459398367,9.597545205870166
0x4c8f87f44c6ff00c965ccd5f7baf0188a4905267,1192,1226.1195023148148,838.3778069438328,275629847,48869219121.19547,312366.264261745,0.04827893850226464,0.07622284542035285
0xbd981b3f02c76f9de69b28d28569ab6ffe3c07ca,2335,671.9940393518518,11686.628037999999,545491562,25595459418.371307,303133.9892933619,0.001,0.003
0x98e2ab7934a8039978559ad901539a200e11be2f,795,1555.7631018518518,247.79260946671295,92989523,61575993955.7912,174854.02641509433,0.1606517392730315,0.4797866883411315
0x25181d3205f5826a2a74b5b573d775c2e2145781,351,1307.7215625,183.9799354381603,34279178,48507416517.7151,114628.7150997151,1.8452596219264041,3.8458162346382077
0xad18d0e01b2efab98ccfc3b541a5c550915e6e90,368,1149.1686921296296,119.85710651733137,23920283,27175504275.932064,75304.28260869565,0.0032999320506901728,0.004387397038789937
0xe862dbd29a5f9e59c9aceea219f7bf76d111761c,149,1269.7706018518518,236.65387551088645,18957875,102572130159.20134,169912.0134228188,5.83534140174721,10.248940538220138
0x9caf99421d2ac248a049b732cd22303144f9c761,23,712.7441782407408,55.951747156532036,2306127,25295268605.826088,153255.1739130435,0.0039977,0.006903822680950025
0x77271a3761fd003e9345b0126b78b281ae9164e5,172,1006.4668865740741,755.7615046211603,24487031,39145603027.41279,198741.78488372092,0.20058890011587543,0.566698634204782
0x6b47ab4553b0bbc27fc7b713c5b6d25a71db622f,137,811.2208449074074,127.8154136865175,7860654,21426923691.91971,68274.98540145985,1.34997121,4.016702649933513
0xe4bc96b24e0bdf87b4b92ed39c1aef8839b090dd,2773,1731.1137847222221,8754.846006062246,714618320,85922604523.14857,352352.4345474216,0.15941190842085481,0.4372212590622537
0xb675b284d6f7d59f5b03b9b4da43d89b0d8a277d,1184,1529.2229282407407,490.4587773282754,139756207,69358603485.72974,158809.36908783784,0.028531057,0.0443030924224619
