buyer_n-1_address,transaction_count,active_period,total_value,total_gasUsed,avg_gasPrice,avg_gasLimit,rolling_avg_value_last10,rolling_std_value_last10
0x81745b7339d5067e82b93ca6bbad125f214525d3,2095,2067.4300810185186,1761.9892692118674,301347746,57763703694.72458,188296.7875894988,0.04231948420324617,0.10308894808144968
0xfee506a57a08bafd61fc3fda2209fd416c41752d,188,1138.0384143518518,2678.719730669509,19208178,71121894551.91489,144534.36170212767,0.0,0.0
0xc3df7d3ea6bc94cf674e22052a5d374ff08901bd,2200,1425.3777430555556,749.7666003922315,353699119,87274574147.31091,221757.89727272728,0.021199000000000003,0.04674268294610399
0x4ec108cc274dc8495d35b3b8e42e570c209d5eac,287,1281.6450810185186,636.0608518631433,31005924,64723136010.560974,160534.05226480836,15.429850000000002,20.433152698555844
0x03c34f7350e2de6d543363bc70d2865969dd6a3a,5937,604.8466782407407,4007.344462242183,1049226468,29106631779.72865,209999.73521980798,0.1997444138990781,0.3994607402688146
0xade01f6f5e6d05a2581f61bba8b254b1ef2b793f,159,779.9516782407408,289.0920879847839,32701248,40691690267.74214,296891.358490566,2.4,5.885575587824865
0xe3e009c63ee00d20f5ceeccf34df1dc08d68b5cf,392,1211.078425925926,3426.529246658402,32409443,54631649706.66582,119360.01020408163,6.743683,12.51246780776682
0x497609de703bc0422e7d80d2aec9e7eab0084d8f,240,1312.833923611111,4073.406273436508,41737710,92012035311.25833,238013.95,0.025152695981034874,0.046823768122434765
0x2f48e7b264b7a0fc85f09f24554d4a440b7b8cbf,643,1291.2727777777777,1959.1888775269979,71284172,121548271794.51633,148696.26594090203,1.175,2.837362331462092
0x7eb413211a9de1cd2fe8b8bb6055636c43f7d206,5315,1226.0787847222223,71308.21109679808,1192287479,69431853763.81299,330327.34205079963,0.12007580148653314,0.21952022705473326
0x614e25f17e4f6d3d19fad1b95d71ec3dbda63fcb,600,740.1897337962963,545.1217716686588,70487903,27503568641.103333,148045.24333333335,0.082,0.1302344040566854
0x7254bb676d9cb54281028c4083455e85e2904c1b,400,1330.948726851852,298.1267790233321,45278347,71611642902.11,162278.3825,0.5979,0.9731650396104455
0xcceacc20980952cb03b35019267467bd67141b48,326,1345.7926273148148,130.40971360618528,37789963,75195700102.40184,154537.92944785277,0.08181376903460744,0.103626287232497
0x12d1b76162550e3d7c1c6ffd344bbef705d524ac,770,904.4265393518518,16767.32352858762,162132728,24949459924.594807,300188.2753246753,17.060001715,51.1799994283334
0x1f4d23b9f1e368af1c901319f328ec4547aa845a,1405,1311.9158912037037,3266.3848515585596,181202877,51244844503.19858,186654.97508896797,1.511,4.529667647852324
0x693c92342f54d8e344abae803971d36395676bec,93,1318.4096296296295,264.715240873331,9271223,107224017205.86021,158739.30107526883,0.9078016506290296,1.725879121508928
0x8a4ac0cd96828466e10ffe0c4839ee2a7a2fe76f,2368,1426.7153472222221,1864.2502332739693,563519918,64185707072.39189,323758.8678209459,0.248465965,0.7453978950000001
0x65b1b96bd01926d3d60dd3c8bc452f22819443a9,2609,1495.181087962963,100721.19456354601,416321369,112828528525.54198,242661.7516289766,3.33333,9.99999
0x66d89b94ca219fbcb04836b99707791082fa4b6d,834,1445.150625,424.6287881672707,97070659,168183389173.17865,158620.0371702638,0.2173,0.2317274476621188
0xc584bd46352ce4ba448d90df0f68bf5304acb80d,295,740.4566782407408,440.02877088808634,87121577,30112550394.284744,424124.8474576271,0.11766019512976669,0.10022239141792397
0x6acd98b7f9d818699aceb70f5e87fe148ccbb988,2276,2620.720717592593,669.3993184783334,316099095,79148634224.70299,187466.11467486818,0.018908410354035045,0.0403519539166156
