Feature,MeanDecreaseMSE_log,Std
sale_1_month_2021-08,0.4311131567328642,0.010188340408513514
sale_1_month_2022-05,0.32548695463764543,0.01605097428291374
sale_1_month_2021-07,0.18761386520084872,0.007125154322536645
sale_1_month_2021-06,0.183667374320629,0.00405792086509699
sale_1_month_2022-03,0.17924299130588897,0.0088720226646639
sale_1_month_2021-12,0.15319927035333195,0.0043735566167281545
sale_1_month_2022-01,0.15151259156268695,0.003820616754544472
sale_1_month_2022-04,0.13740880901337685,0.009009230065792177
sale_1_month_2021-09,0.12446680325517304,0.005521788387695517
sale_1_month_2022-02,0.11514788271838369,0.0034817604598647305
sale_1_month_2022-08,0.10866966905858388,0.00363530149782221
sale_1_month_2022-06,0.08719617227363545,0.00364198367513078
sale_1_month_2021-11,0.07188977852986486,0.002389078676011886
sale_1_month_2023-04,0.06685203659976578,0.0026878523681943783
sale_1_month_2022-12,0.06609422138907536,0.001459712604066797
sale_1_month_2023-01,0.06316398507383968,0.002158251391131113
sale_1_month_2023-02,0.059618757640731365,0.002180246582864175
sale_1_month_2023-03,0.05720750912626917,0.0020968415344808145
sale_1_month_2023-08,0.04962183708940807,0.0030157787584904083
sale_1_month_2022-09,0.04764481144700292,0.002180490260665547
sale_1_month_2022-11,0.04596716207013573,0.004167650980060666
sale_1_month_2023-11,0.03717126409311524,0.0014928331000697095
sale_1_month_2024-02,0.03702893281920341,0.002382863951967445
sale_1_month_2023-10,0.03679895252428365,0.0017620967849581923
sale_1_month_2023-05,0.034706943164871815,0.0015269457802556815
sale_1_month_2022-07,0.03441941377845402,0.0028645386807596854
sale_1_month_2023-09,0.031477644598543186,0.0025901736132438466
sale_1_month_2024-03,0.029573970460798005,0.0012107153443319954
sale_1_month_2024-12,0.02478677179639615,0.001163524821616231
sale_1_month_2021-10,0.0217678592415319,0.0018267575146145075
sale_1_month_2023-06,0.02148993548442465,0.0017222285260791526
sale_1_month_2024-10,0.018996642859982704,0.0029304146988942677
sale_1_month_2023-07,0.0183622174143608,0.0013604807887048788
sale_1_month_2024-11,0.017674563044851176,0.0014106625763187857
Eyes_Blue Beams,0.01584392219844928,0.0014485950590672012
sale_1_month_2022-10,0.015310922841212857,0.0016814914669153233
Fur_Trippy,0.014651535542750291,0.0014046983003444446
sale_1_month_2024-05,0.014540031003146764,0.0011705151091817912
sale_1_month_2024-09,0.01195594644682792,0.0014319171667931069
Fur_Solid Gold,0.011651314208390282,0.0019696527929137678
sale_1_month_2024-04,0.010416959295990773,0.0009186439843732359
Hat_King's Crown,0.009447777701240797,0.0015888834143350367
sale_1_month_2024-06,0.007897865922921738,0.0005082990611517871
Clothes_Black Suit,0.007596139124324178,0.0010868677205851406
sale_1_month_2024-08,0.004851945546910955,0.0003912227200960694
Mouth_Grin Diamond Grill,0.004835395660088043,0.001032595751858201
sale_1_month_2025-02,0.00422228588546879,0.0002917060080697468
Mouth_Bored Pizza,0.0038154360371575463,0.0006105093965824104
Eyes_Laser Eyes,0.0037234301215507528,0.0005514131028043551
Mouth_Bored Unshaven Pizza,0.0028879531356509197,0.0013916624035614274
Hat_Trippy Captain's Hat,0.0025427522991811,0.0004128674030745661
Eyes_Cyborg,0.0018407830087125681,0.0007647093112160476
Mouth_Grin Gold Grill,0.0018258281477449372,0.0005781677452416821
Fur_Death Bot,0.0017523531201312614,0.0003808673754498856
Mouth_Bored Unshaven Party horn,0.0013981518692067457,0.00020781708956141886
Mouth_Bored Dagger,0.0013764177846725706,0.0003153957893966215
Fur_Noise,0.0012055124268305212,0.0002710158869946065
Clothes_Pimp Coat,0.0009766604252202354,0.00022475180000634725
Mouth_Grin Multicolored,0.0009291822529392341,0.00022910838762236883
Fur_Robot,0.0008781930326878712,0.00023734350450211084
Fur_Dmt,0.0007545344228489431,0.0003595065816913791
Background_Blue,0.0007211030988322958,0.0005041840739889574
Clothes_Kings Robe,0.0005595954428587263,0.0002429796561924702
Clothes_Space Suit,0.000520509183213258,0.0002461093660207888
Clothes_Striped Tee,0.00047598168598121383,7.211827017010322e-05
Fur_Zombie,0.000455327176765713,0.0003266723090923261
Earring_Diamond Stud,0.00037003775717287803,0.00015053448235134798
Mouth_Bored Kazoo,0.0003566995757443181,8.457808550412832e-05
Eyes_Sunglasses,0.00029352757948027943,0.00015266436102890873
Hat_Bayc Hat Red,0.0002759416755942157,0.0003437978281136404
Mouth_Bored Unshaven Pipe,0.00024913623838759,0.00040365808132728404
Earring_Gold Stud,0.00023531626375481728,9.47572088274417e-05
Mouth_Bored Bubblegum,0.00021293028383993496,0.0001470241176994132
Eyes_Holographic,0.0002108412164622514,5.6616955100529963e-05
Fur_Blue,0.0001859326225654434,9.013431705541713e-05
Hat_Party Hat 2,0.00016802046767289692,5.0402018340612675e-05
Mouth_Bored Unshaven Bubblegum,0.0001555580637629589,0.00019261213805680575
Fur_Cheetah,0.0001545521473456879,6.192226069949785e-05
Hat_Spinner Hat,0.00015017698298604442,6.673215945502793e-05
Mouth_Bored Party Horn,0.00014695038161752493,5.3186084768283534e-05
Mouth_Bored Unshaven Kazoo,0.0001328360169896209,0.00017388206206299598
Mouth_Bored Unshaven Cigar,0.00012678795370231477,4.6648749417017576e-05
Fur_Red,0.00012353106265862446,9.603722103536277e-05
Clothes_Vietnam Jacket,0.00012058743544235695,0.000151568873313647
Clothes_Tweed Suit,0.00011236616278987865,3.352179133189019e-05
Hat_Laurel Wreath,0.00010113351671188764,8.924245528172162e-05
Mouth_Grin,9.89669281773381e-05,5.1760044874349956e-05
Hat_Fisherman's Hat,9.819405899107737e-05,0.00011742444576714877
Clothes_Toga,9.410959531741258e-05,5.35648897273733e-05
Clothes_Tanktop,9.312493021505774e-05,4.594843279502504e-05
Hat_Bayc Flipped Brim,9.237030214577502e-05,9.266503351513767e-05
Background_Yellow,9.17442584717848e-05,0.0005249849841841977
Earring_Silver Hoop,8.069060470509149e-05,9.933516935482335e-05
Mouth_Phoneme  ooo,7.973153465112848e-05,3.578940047279101e-05
Eyes_Zombie,7.278828271325977e-05,6.028947195579113e-05
Hat_Halo,6.966553428183197e-05,6.129478635864632e-05
Eyes_Bloodshot,6.388124973616405e-05,9.566435325112622e-05
Clothes_Rainbow Suspenders,6.239949990695937e-05,4.3929484169271535e-05
Eyes_Sad,6.170730997988038e-05,0.00014834850628274289
Eyes_Closed,5.590898299094871e-05,0.00015207374726786992
Eyes_Sleepy,5.574169709067211e-05,8.877924565483259e-05
Eyes_Bored,4.609172822168939e-05,0.0002587855354215564
Hat_Girl's Hair Short,4.367635215358212e-05,4.90774738933458e-05
Mouth_Bored Cigar,4.112971480028926e-05,4.758442345658523e-06
Clothes_Tie Dye,4.018457740730119e-05,0.00018253775447767015
Eyes_Angry,3.7860544826648355e-05,9.798893852756663e-05
Eyes_Wide Eyed,3.694158727244601e-05,5.6647954110735786e-05
Fur_Pink,3.471756132185921e-05,7.312980628302037e-05
Eyes_Eyepatch,3.468420835316122e-05,7.495449152736844e-05
Hat_Fez,3.2503800951255715e-05,3.0645413279691436e-05
Clothes_Hip Hop,3.243794677975642e-05,0.00030476562015412063
Clothes_Guayabera,2.9535695657995077e-05,2.972323692318559e-05
Hat_Sea Captain's Hat,2.769707775888697e-05,1.0347135448675648e-05
Eyes_Scumbag,2.7284142232020248e-05,1.843549925956513e-05
Eyes_Robot,2.6812201198586627e-05,5.1530082361435546e-05
Hat_Seaman's Hat,2.325608794890299e-05,3.4261599158644014e-05
Mouth_Phoneme Wah,2.32149638965784e-05,3.8832572637753774e-05
Eyes_Crazy,2.3073528716735514e-05,8.913397234498612e-05
Clothes_Tuxedo Tee,2.194392512817056e-05,2.8991127086295654e-05
Eyes_Hypnotized,2.1045644580122702e-05,4.8783797562438175e-05
Hat_Bandana Blue,2.0812180357857037e-05,4.4904225728527954e-05
Clothes_Smoking Jacket,2.0026276147239174e-05,9.848954464221345e-05
Fur_Gray,1.9911265399893963e-05,5.79383034488612e-05
Mouth_Phoneme Vuh,1.9498595302303023e-05,8.192047541719723e-05
Mouth_Jovial,1.8116173217766486e-05,4.955434194892059e-05
Clothes_Sailor Shirt,1.6975786623765755e-05,5.2705202910872184e-05
Hat_Commie Hat,1.6563703833066824e-05,4.6000005239060596e-05
Background_Gray,1.4477201333529256e-05,0.0001149551417037267
Clothes_Bone Necklace,1.3376283793786748e-05,2.021419034669294e-05
Hat_Bowler,1.18376163889794e-05,1.3088915833986865e-05
Hat_Bayc Hat Black,1.1684998580382966e-05,2.7290976494189204e-05
Hat_Horns,4.26794729564417e-06,4.717738550861234e-05
Mouth_Dumbfounded,2.7628036664811837e-06,0.00012580798224830396
Eyes_Blindfold,1.2936131303015185e-06,3.696499632071261e-05
Mouth_Phoneme Oh,6.136487247510036e-07,1.8409461742530109e-06
Clothes_Bandolier,4.048160835407044e-07,3.130846382461146e-05
Clothes_Cowboy Shirt,3.5020751935621596e-07,3.990324524332722e-05
Fur_White,3.0750463836382024e-08,9.225139150914608e-08
Clothes_Caveman Pelt,0.0,0.0
Mouth_Small Grin,0.0,0.0
Hat_Party Hat 1,0.0,0.0
Hat_Police Motorcycle Helmet,0.0,0.0
sale_1_month_2024-07,0.0,0.0
Hat_Prussian Helmet,0.0,0.0
Hat_Stuntman Helmet,0.0,0.0
Hat_Sushi Chef Headband,0.0,0.0
Clothes_Blue Dress,0.0,0.0
