Feature,Importance
sale_1_month_2021-08,0.12169216850352145
sale_1_month_2022-01,0.09478742388418417
sale_1_month_2022-03,0.056989618820179826
sale_1_month_2022-05,0.05139726007586905
sale_1_month_2022-04,0.04586938230118645
sale_1_month_2021-07,0.03585936173558301
sale_1_month_2021-12,0.03400917998216532
sale_1_month_2023-04,0.03345300556787631
sale_1_month_2022-11,0.03079939292765041
sale_1_month_2021-11,0.029808086932999047
sale_1_month_2022-06,0.029564116086689105
sale_1_month_2021-06,0.02726479453546871
sale_1_month_2021-09,0.024746497753895886
sale_1_month_2022-02,0.023136057920672227
sale_1_month_2021-10,0.022090618105362402
sale_1_month_2022-12,0.021350747442547124
sale_1_month_2022-07,0.018083874955174255
sale_1_month_2023-10,0.015623075123218805
sale_1_month_2023-08,0.015276751560518033
sale_1_month_2023-01,0.015175978145651492
sale_1_month_2022-09,0.014859636962727104
sale_1_month_2022-08,0.013955526120376321
sale_1_month_2023-03,0.012821686043862076
sale_1_month_2023-02,0.01214449199516291
sale_1_month_2024-02,0.01197425053520487
sale_1_month_2024-03,0.011570537289941143
sale_1_month_2022-10,0.010823007026420695
sale_1_month_2023-11,0.010194464310242273
sale_1_month_2023-07,0.010097437149381265
sale_1_month_2023-05,0.009827073513696905
sale_1_month_2023-06,0.009823618181621196
Fur_Solid Gold,0.009211953586542736
sale_1_month_2023-12,0.008874338829374377
sale_1_month_2023-09,0.008369087825809144
Fur_Trippy,0.008042126957889606
sale_1_month_2024-05,0.007378129402798354
sale_1_month_2024-11,0.0070795907094575415
sale_1_month_2024-04,0.005378617449065504
sale_1_month_2024-09,0.004619208378787594
sale_1_month_2024-01,0.004501279942740665
sale_1_month_2024-10,0.004253976362068397
sale_1_month_2024-08,0.003813160649855541
sale_1_month_2024-12,0.0032932192952613254
Clothes_Black Suit,0.0030955636965634605
sale_1_month_2024-06,0.003065123684028756
Mouth_Bored Unshaven Pizza,0.002450038995914264
Eyes_Laser Eyes,0.002347747576324856
sale_1_month_2025-02,0.0022681919305650813
Eyes_Blue Beams,0.0019795896497004327
Mouth_Grin Diamond Grill,0.00194039641817977
Hat_King's Crown,0.001804455758727755
Mouth_Bored Unshaven Dagger,0.0016422643301890376
Mouth_Bored Pizza,0.0014719605684842725
Mouth_Grin Gold Grill,0.001219460184639337
Hat_Trippy Captain's Hat,0.0011895502922985319
Eyes_Cyborg,0.0009770151152871487
Fur_Death Bot,0.0008871729874754854
Background_Army Green,0.0008850152553652097
Clothes_Hip Hop,0.0007366022277569144
Mouth_Grin Multicolored,0.0007238479916937644
Eyes_Sad,0.0006882018214883793
Background_Blue,0.0006371251059519914
Background_Yellow,0.0005799367138101246
Mouth_Bored Dagger,0.0005722714237693934
Fur_Dmt,0.0005512172541385948
Mouth_Bored Unshaven,0.0005118588994005484
Mouth_Bored Unshaven Pipe,0.0005077681990652255
Eyes_Sunglasses,0.0004935028238410973
Eyes_Bored,0.0004886893315806655
Clothes_Vietnam Jacket,0.00048117850889794334
Background_New Punk Blue,0.00045827141209759184
Mouth_Bored Unshaven Kazoo,0.00043224411087942926
Fur_Brown,0.00038805021087882094
Fur_Blue,0.00038700581963764573
Fur_Noise,0.00038571937079686963
Fur_Zombie,0.00038540900154337445
Clothes_Space Suit,0.0003816499133622114
Background_Orange,0.00037521084815000006
Fur_Red,0.00037063996102956065
Clothes_Pimp Coat,0.00036418261461294567
Background_Gray,0.0003622854465365525
Background_Purple,0.00035716224026909656
Hat_Bayc Hat Red,0.00035173002846018383
Fur_Dark Brown,0.00034481646649091487
