Feature,MeanDecreaseMSE_log,Std
sale_1_month_2021-08,0.4337819827543493,0.011502839542837056
sale_1_month_2022-05,0.3269715984975189,0.01704269781243382
sale_1_month_2021-07,0.2001356028896834,0.006788377924378052
sale_1_month_2021-06,0.19619359303924744,0.0035713246216443222
sale_1_month_2022-03,0.18129273032605162,0.01022508617480844
sale_1_month_2021-12,0.15410583918613693,0.003989916017523328
sale_1_month_2022-01,0.15292090517728107,0.004842739457076246
sale_1_month_2022-04,0.14209427855538667,0.009797479299275559
sale_1_month_2021-09,0.1262786669213053,0.005357407230971705
sale_1_month_2022-02,0.11613848462803447,0.004037255719759084
sale_1_month_2022-08,0.1132274181955623,0.0038980854046681483
sale_1_month_2022-06,0.08994177836690746,0.0030133017778049315
sale_1_month_2021-11,0.07317126843829007,0.0027464686171508935
sale_1_month_2023-04,0.06706503509283736,0.002280969520601402
sale_1_month_2022-12,0.06636802609491668,0.0023687039311529687
sale_1_month_2023-01,0.0652942713399374,0.0023553010296787657
sale_1_month_2023-02,0.06056126363627291,0.0025639544217685327
sale_1_month_2023-03,0.06020844531029943,0.002509547379419415
sale_1_month_2022-09,0.049262806045837215,0.0023038982217755467
sale_1_month_2023-08,0.04925962896608901,0.003130808816574742
sale_1_month_2022-11,0.04586093563628282,0.005703070662256219
sale_1_month_2023-11,0.039522844871457484,0.0016482459344494716
sale_1_month_2023-10,0.037696340789231286,0.0015338641419775168
sale_1_month_2024-02,0.03759635855812342,0.0024799270289415356
sale_1_month_2023-05,0.03560187484072153,0.0016975406096800736
sale_1_month_2023-09,0.03321773721425847,0.0029299886104368275
sale_1_month_2022-07,0.032875304892200856,0.003971177448005273
sale_1_month_2024-03,0.03013997620433697,0.0009247013212968473
sale_1_month_2024-12,0.02612982378426485,0.0010352836602559477
sale_1_month_2023-06,0.02325005514927987,0.001323772632255839
sale_1_month_2021-10,0.02294897442757577,0.0021717032369474197
sale_1_month_2023-07,0.019131966225835705,0.0014531387572949736
sale_1_month_2024-11,0.017996623886209057,0.0012108835806850118
sale_1_month_2024-10,0.017731887454015327,0.0025707571719216812
Eyes_Blue Beams,0.017463020630065836,0.0013754762649094666
sale_1_month_2022-10,0.01574284267879074,0.0016539579222533594
sale_1_month_2024-05,0.0155559545997733,0.0011447963519318417
Fur_Trippy,0.015529475070679383,0.0015763631310302423
Fur_Solid Gold,0.014715314530812384,0.0018460822810643322
sale_1_month_2024-09,0.012688763289553045,0.001737972331143578
sale_1_month_2024-04,0.01115573688661795,0.0008799796086188655
Hat_King's Crown,0.010131311878911576,0.001539993248896889
Clothes_Black Suit,0.00940018802733974,0.0014184277997146037
sale_1_month_2024-06,0.007924288483556544,0.0004589897467150277
Mouth_Grin Diamond Grill,0.005998761112079762,0.0012868070454726533
sale_1_month_2024-08,0.005789145875536528,0.0003925319308600677
sale_1_month_2025-02,0.004769734347400034,0.00032500640039199313
Mouth_Bored Pizza,0.004732653386262123,0.0005839254823635422
Eyes_Laser Eyes,0.004612917482582912,0.0005888544155918162
Hat_Trippy Captain's Hat,0.0032207972183222857,0.00035429127096605354
Mouth_Bored Unshaven Pizza,0.003112169564836745,0.0012947600989584324
sale_1_month_2025-01,0.002643182187728632,0.00047849895754867544
Eyes_Cyborg,0.002511037845510594,0.0008619395323738879
Mouth_Bored Unshaven Party horn,0.0020497861965811993,0.0003356108774577742
Mouth_Grin Gold Grill,0.001991186685479132,0.0007650003225581065
Fur_Noise,0.001968307540364825,0.0003654318291473506
Fur_Death Bot,0.0017915231123094787,0.0005678379819625492
Mouth_Bored Dagger,0.001701139247991576,0.00031615969734764143
sale_1_month_2024-07,0.0015927243754728481,0.0002832326777264866
Fur_Cheetah,0.0015380913644482519,0.0013202832575496567
Clothes_Pimp Coat,0.0013848167061979526,0.0002608193705076732
Clothes_Striped Tee,0.0013568497434901766,0.0001653310140841308
Mouth_Grin Multicolored,0.0011615717253656232,0.0003105363231415184
Hat_Bayc Hat Red,0.0008732402795546517,0.00042052427610606534
Mouth_Bored Kazoo,0.0008684716604904664,0.00017508267204501834
Fur_Zombie,0.0007925257651896916,0.000545939841137345
Clothes_Space Suit,0.0007878806743277539,0.0003687303147588937
Fur_Dmt,0.0007230474838522793,0.0004812196366875296
Clothes_Kings Robe,0.0007066365073896269,0.0003398231324112686
Mouth_Bored Unshaven Cigar,0.0006823928565179189,0.00013010045975372407
Fur_Robot,0.000612309432885813,0.00028135504144010873
Background_Blue,0.0004853961256736261,0.0003665365724063422
Hat_Laurel Wreath,0.0004616825017544707,0.0002259488328523416
Mouth_Bored Party Horn,0.00044041565698534345,0.00023483633808833113
Mouth_Bored Bubblegum,0.0003860632329333896,0.00025713301951129725
Eyes_Wide Eyed,0.00037184639654274374,0.00020009559259214215
Hat_Party Hat 2,0.0003225483446963884,8.061549585133959e-05
Mouth_Bored Unshaven Pipe,0.00031165252997672753,0.00034251738759623985
Mouth_Bored Unshaven Bubblegum,0.00030877053989935844,0.0003446154235147148
Clothes_Biker Vest,0.0003020394376793578,0.00021160605274422745
Clothes_Hip Hop,0.00029673399943671577,0.000351888963206789
Earring_Diamond Stud,0.0002959193421540024,0.00023963076135572714
Earring_Gold Stud,0.00027893606012381334,0.00016107252883481603
Eyes_Sunglasses,0.00025702353726147765,0.00025875489348088025
Eyes_Holographic,0.00025470283519449244,0.00016397696829632192
Eyes_Sleepy,0.00024624225385995734,0.00019652606702248498
Clothes_Tuxedo Tee,0.00024230305706001432,0.00012781286742751785
Fur_Dark Brown,0.0002286642145054335,0.00039872500063836306
Hat_Bandana Blue,0.0002262456121497086,7.125085060619457e-05
Clothes_Tweed Suit,0.00021851139207357262,0.00020563104552525033
Background_Gray,0.00021303617540341103,0.00016603525680912665
Hat_Bayc Flipped Brim,0.00020798554339602205,5.9940852058035604e-05
Fur_Gray,0.00020555972277545297,9.790503295179896e-05
Hat_Spinner Hat,0.00019918627704337832,0.00014767074279241067
Mouth_Bored Unshaven Kazoo,0.0001944244384853938,0.0002141021061006145
Mouth_Phoneme  ooo,0.00019391925075680217,0.00015887971006593612
Clothes_Tie Dye,0.00019098193816714516,0.0001981770265007516
Mouth_Rage,0.00018935824154868441,0.0003007598506943171
Hat_Fez,0.00018490790375876032,0.00012973162920536542
Eyes_Bored,0.00018437738270534466,0.0001842950492629997
Eyes_Angry,0.00018280724999953924,0.0001027094286153862
Background_Yellow,0.00015783377272497457,0.00018365395229220702
Clothes_Lumberjack Shirt,0.00014552061161846318,0.00017923850950959434
Fur_Blue,0.000145509708579436,7.303773693424012e-05
Hat_Bayc Hat Black,0.00014543701712309843,0.00021840125788758584
Clothes_Vietnam Jacket,0.00014166971523073003,8.123319960034454e-05
Mouth_Bored Pipe,0.000138221876337849,7.868375303787706e-05
Clothes_Sleeveless T,0.00013432100920831303,0.00017920245791904662
Hat_Beanie,0.0001274772245243888,0.0001795023298370302
Eyes_Sad,0.00011845061944434354,0.0001824953085772017
Hat_Fisherman's Hat,0.00011556315337001578,0.0002943014694679441
Hat_Safari,0.00011498986736425409,0.0002388338609165836
Hat_Commie Hat,0.0001087960941146382,0.00019521256635160846
Fur_Tan,0.0001080270603007083,0.00012760072163297168
Clothes_Rainbow Suspenders,0.00010310322895582812,7.902588270974742e-05
