Feature,Importance
Eyes_Zombie,4.424964317004942e-07
Clothes_Kings Robe,3.6981250976915393e-07
Hat_Horns,1.4197526238839835e-07
Clothes_Cowboy Shirt,9.303394785501462e-09
Mouth_Phoneme Oh,4.4932132693636615e-09
Mouth_Phoneme L,4.231284709223192e-09
Mouth_Bored Unshaven Bubblegum,0.0
Mouth_Bored Unshaven Kazoo,0.0
Clothes_Rainbow Suspenders,0.0
Clothes_Service,0.0
Mouth_Bored Unshaven Cigar,0.0
sale_1_month_2024-01,0.0
sale_1_month_2023-05,0.0
Clothes_Sleeveless T,0.0
Clothes_Puffy Vest,0.0
Mouth_Bored Party Horn,0.0
Mouth_Bored Kazoo,0.0
Clothes_Wool Turtleneck,0.0
Clothes_Stunt Jacket,0.0
Mouth_Discomfort,0.0
sale_1_month_2023-03,0.0
Mouth_Bored Unshaven Pizza,0.0
Mouth_Bored Cigar,0.0
sale_1_month_2023-02,0.0
Clothes_Pimp Coat,0.0
Clothes_Lumberjack Shirt,0.0
Clothes_Blue Dress,0.0
sale_1_month_2022-08,0.0
Mouth_Jovial,0.0
sale_1_month_2021-10,0.0
Mouth_Phoneme Wah,0.0
sale_1_month_2021-09,0.0
Clothes_Work Vest,0.0
sale_1_month_2023-06,0.0
Hat_Bandana Blue,0.0
sale_1_month_2025-03,0.0
sale_1_month_2023-12,0.0
sale_1_month_2024-04,0.0
sale_1_month_2023-11,0.0
sale_1_month_2023-10,0.0
sale_1_month_2024-06,0.0
Fur_Dmt,0.0
Hat_Fez,0.0
sale_1_month_2024-07,0.0
Hat_Girl's Hair Pink,0.0
Hat_Girl's Hair Short,0.0
sale_1_month_2023-09,0.0
Hat_Irish Boho,0.0
sale_1_month_2024-08,0.0
sale_1_month_2023-08,0.0
Hat_Party Hat 1,0.0
Hat_Police Motorcycle Helmet,0.0
Hat_Prussian Helmet,0.0
sale_1_month_2023-07,0.0
Hat_Safari,0.0
sale_1_month_2024-09,0.0
sale_1_month_2024-11,0.0
sale_1_month_2024-12,0.0
Eyes_Crazy,0.0
Hat_Stuntman Helmet,0.0
sale_1_month_2025-01,0.0
sale_1_month_2025-02,0.0
Hat_Vietnam Era Helmet,0.0
sale_1_month_2024-05,0.0
