Feature,Importance
Eyes_Eyepatch,0.0002517716
Hat_Vietnam Era Helmet,0.0002515237
Fur_Gray,0.00025003657
Eyes_Angry,0.0002492572
Fur_Tan,0.00024676853
Clothes_Prison Jumpsuit,0.00024077728
Background_New Punk Blue,0.00023133153
Hat_Girl's Hair Pink,0.00022948904
Background_Army Green,0.00022905171
Eyes_Bloodshot,0.000225779
Clothes_Rainbow Suspenders,0.00022386377
Clothes_Work Vest,0.00022346468
Background_Blue,0.00022170696
Clothes_Bone Tee,0.00022137107
Hat_Bowler,0.0002212163
Clothes_Sleeveless T,0.00022011748
Clothes_Tanktop,0.0002199392
Background_Orange,0.0002199215
Background_Yellow,0.00021756341
Hat_Irish Boho,0.00021696577
Clothes_Sleeveless Logo T,0.00021481264
Clothes_Lab Coat,0.00021465197
Clothes_Leather Punk Jacket,0.00020549989
Clothes_Prom Dress,0.00020059076
Clothes_Navy Striped Tee,0.00019353043
Clothes_Cowboy Shirt,0.00019309949
Eyes_Hypnotized,0.00019274224
Background_Purple,0.0001902439
Clothes_Black T,0.00018976172
Background_Gray,0.00018373705
Mouth_Small Grin,0.00016234463
Clothes_Hawaiian,0.00016196353
Hat_Police Motorcycle Helmet,0.00015816883
Clothes_Bone Necklace,0.0001572629
Mouth_Phoneme L,0.00015306937
Clothes_Caveman Pelt,0.0001387207
Clothes_Black Holes T,0.00013724694
Clothes_Service,0.00011905168
